"","bondsettype","county","year","moneybond","moneybond_no","moneybond_yes","prbond","prbond_no","prbond_yes","totalnewfiling"
"98","Felony","Kit Carson","2015","33","23","10","13","13",NA,"46"
"99","Felony","Kit Carson","2016","35","23","12","26","15","11","61"
"100","Felony","La Plata","2014","141","89","52","184","135","49","325"
"101","Felony","La Plata","2015","174","139","35","199","150","49","373"
"102","Felony","La Plata","2016","216","183","33","163","139","24","379"
"103","Felony","Lake","2014","59","47","12","8","7","1","67"
"104","Felony","Lake","2015","31","27","4","6","6",NA,"37"
"105","Felony","Lake","2016","56","47","9","13","11","2","69"
"106","Felony","Larimer","2014","765","609","156","439","388","51","1,204"
"107","Felony","Larimer","2015","941","735","206","465","410","55","1,406"
"108","Felony","Larimer","2016","1,161","905","256","586","522","64","1,747"
"109","Felony","Las Animas","2014","72","55","17","62","48","14","134"
"110","Felony","Las Animas","2015","77","60","17","65","46","19","142"
"111","Felony","Las Animas","2016","70","52","18","44","30","14","114"
"112","Felony","Lincoln","2014","22","19","3","4","4",NA,"26"
"113","Felony","Lincoln","2015","25","24","1",NA,NA,NA,"25"
"114","Felony","Lincoln","2016","44","34","10","2","1","1","46"
"115","Felony","Logan","2014","85","64","21","68","54","14","153"
"116","Felony","Logan","2015","104","79","25","67","54","13","171"
"117","Felony","Logan","2016","95","77","18","72","64","8","167"
"118","Felony","Mesa","2014","363","277","86","721","585","136","1,084"
"119","Felony","Mesa","2015","288","230","58","824","671","153","1,112"
"120","Felony","Mesa","2016","314","252","62","1,043","849","194","1,357"
"121","Felony","Mineral","2014","2","2",NA,NA,NA,NA,"2"
"122","Felony","Mineral","2015",NA,NA,NA,"2","1","1","2"
"123","Felony","Mineral","2016","1","1",NA,NA,NA,NA,"1"
"124","Felony","Moffat","2014","92","62","30","28","23","5","120"
"125","Felony","Moffat","2015","121","82","39","65","53","12","186"
"126","Felony","Moffat","2016","97","68","29","89","75","14","186"
"127","Felony","Montezuma","2014","86","73","13","67","54","13","153"
"128","Felony","Montezuma","2015","140","121","19","57","49","8","197"
"129","Felony","Montezuma","2016","154","137","17","61","55","6","215"
"130","Felony","Montrose","2014","166","110","56","45","35","10","211"
"131","Felony","Montrose","2015","174","113","61","49","37","12","223"
"132","Felony","Montrose","2016","191","112","79","71","59","12","262"
"133","Felony","Morgan","2014","113","74","39","52","44","8","165"
"134","Felony","Morgan","2015","98","77","21","78","59","19","176"
"135","Felony","Morgan","2016","108","81","27","89","64","25","197"
"136","Felony","Otero","2014","99","76","23","64","45","19","163"
"137","Felony","Otero","2015","136","88","48","51","35","16","187"
"138","Felony","Otero","2016","109","79","30","64","48","16","173"
"139","Felony","Ouray","2014","8","6","2","2","2",NA,"10"
"140","Felony","Ouray","2015","12","9","3","3","2","1","15"
"141","Felony","Ouray","2016","19","15","4","3","2","1","22"
"142","Felony","Park","2014","38","31","7","17","15","2","55"
"143","Felony","Park","2015","52","42","10","19","14","5","71"
"144","Felony","Park","2016","43","40","3","11","9","2","54"
"145","Felony","Phillips","2014","9","7","2",NA,NA,NA,"9"
"146","Felony","Phillips","2015","15","11","4","2","2",NA,"17"
"147","Felony","Phillips","2016","12","11","1","7","7",NA,"19"
"148","Felony","Pitkin","2014","30","25","5","4","3","1","34"
"149","Felony","Pitkin","2015","51","44","7","13","9","4","64"
"150","Felony","Pitkin","2016","42","32","10","23","20","3","65"
"151","Felony","Prowers","2014","76","63","13","47","36","11","123"
"152","Felony","Prowers","2015","113","81","32","48","39","9","161"
"153","Felony","Prowers","2016","100","86","14","53","47","6","153"
"154","Felony","Pueblo","2014","588","453","135","481","420","61","1,069"
"155","Felony","Pueblo","2015","637","502","135","790","688","102","1,427"
"156","Felony","Pueblo","2016","644","541","103","651","586","65","1,295"
"157","Felony","Rio Blanco","2014","35","26","9","9","6","3","44"
"158","Felony","Rio Blanco","2015","26","22","4","9","7","2","35"
"159","Felony","Rio Blanco","2016","44","34","10","11","10","1","55"
"160","Felony","Rio Grande","2014","62","43","19","67","50","17","129"
"161","Felony","Rio Grande","2015","52","33","19","60","49","11","112"
"162","Felony","Rio Grande","2016","76","45","31","53","38","15","129"
"163","Felony","Routt","2014","53","43","10","30","26","4","83"
"164","Felony","Routt","2015","72","59","13","62","53","9","134"
"165","Felony","Routt","2016","39","31","8","40","34","6","79"
"166","Felony","Saguache","2014","15","13","2","21","17","4","36"
"167","Felony","Saguache","2015","13","8","5","19","15","4","32"
"168","Felony","Saguache","2016","31","27","4","14","10","4","45"
"169","Felony","San Juan","2014","2","2",NA,"1",NA,"1","3"
"170","Felony","San Juan","2015",NA,NA,NA,NA,NA,NA,NA
"171","Felony","San Juan","2016","7","5","2","3","3",NA,"10"
"172","Felony","San Miguel","2014","20","14","6","7","5","2","27"
"173","Felony","San Miguel","2015","37","31","6","9","6","3","46"
"174","Felony","San Miguel","2016","40","32","8","8","7","1","48"
"175","Felony","Sedgwick","2014","7","4","3","2","1","1","9"
"176","Felony","Sedgwick","2015","10","6","4","7","7",NA,"17"
"177","Felony","Sedgwick","2016","13","12","1","8","8",NA,"21"
"178","Felony","Summit","2014","144","126","18","16","12","4","160"
"179","Felony","Summit","2015","164","128","36","20","14","6","184"
"180","Felony","Summit","2016","189","160","29","20","13","7","209"
"181","Felony","Teller","2014","110","93","17","9","8","1","119"
"182","Felony","Teller","2015","101","96","5","18","16","2","119"
"183","Felony","Teller","2016","134","113","21","27","24","3","161"
"184","Felony","Washington","2014","5","3","2","4","3","1","9"
"185","Felony","Washington","2015","6","5","1","6","6",NA,"12"
"186","Felony","Washington","2016","13","12","1","13","12","1","26"
"187","Felony","Weld","2014","824","659","165","483","391","92","1,307"
"188","Felony","Weld","2015","789","601","188","609","536","73","1,398"
"189","Felony","Weld","2016","877","679","198","655","533","122","1,532"
"190","Felony","Yuma","2014","22","19","3","3","3",NA,"25"
"191","Felony","Yuma","2015","34","19","15","9","6","3","43"
"192","Felony","Yuma","2016","32","26","6","14","12","2","46"
"193","Misdemeanor","Adams","2014","5,369","4,650","719","286","250","36","5,655"
"194","Misdemeanor","Adams","2015","5,243","4,512","731","369","335","34","5,612"
