Jurisdiction by Geography,Offense Type,Incident Date,Number of Crimes
Las Animas County,Crimes Against Property,2016,655
Las Animas County,Crimes Against Society,2016,17
Las Animas County,Missing,2016,
Lincoln County,Crimes Against Person,2016,24
Lincoln County,Crimes Against Property,2016,68
Lincoln County,Crimes Against Society,2016,6
Lincoln County,Missing,2016,
Logan County,Crimes Against Person,2016,246
Logan County,Crimes Against Property,2016,"1,024"
Logan County,Crimes Against Society,2016,162
Logan County,Missing,2016,
Mesa County,Crimes Against Person,2016,"1,799"
Mesa County,Crimes Against Property,2016,"7,019"
Mesa County,Crimes Against Society,2016,"1,744"
Mesa County,Missing,2016,
Mineral County,Crimes Against Person,2016,
Mineral County,Crimes Against Property,2016,
Mineral County,Crimes Against Society,2016,
Mineral County,Missing,2016,
Moffat County,Crimes Against Person,2016,188
Moffat County,Crimes Against Property,2016,467
Moffat County,Crimes Against Society,2016,283
Moffat County,Missing,2016,
Montezuma County,Crimes Against Person,2016,165
Montezuma County,Crimes Against Property,2016,620
Montezuma County,Crimes Against Society,2016,112
Montezuma County,Missing,2016,
Montrose County,Crimes Against Person,2016,313
Montrose County,Crimes Against Property,2016,"1,670"
Montrose County,Crimes Against Society,2016,296
Montrose County,Missing,2016,
Morgan County,Crimes Against Person,2016,238
Morgan County,Crimes Against Property,2016,811
Morgan County,Crimes Against Society,2016,101
Morgan County,Missing,2016,
Otero County,Crimes Against Person,2016,196
Otero County,Crimes Against Property,2016,651
Otero County,Crimes Against Society,2016,67
Otero County,Missing,2016,
Ouray County,Crimes Against Person,2016,5
Ouray County,Crimes Against Property,2016,31
Ouray County,Crimes Against Society,2016,4
Ouray County,Missing,2016,
Park County,Crimes Against Person,2016,73
Park County,Crimes Against Property,2016,132
Park County,Crimes Against Society,2016,24
Park County,Missing,2016,
Phillips County,Crimes Against Person,2016,36
Phillips County,Crimes Against Property,2016,65
Phillips County,Crimes Against Society,2016,10
Phillips County,Missing,2016,
Pitkin County,Crimes Against Person,2016,102
Pitkin County,Crimes Against Property,2016,643
Pitkin County,Crimes Against Society,2016,27
Pitkin County,Missing,2016,
Prowers County,Crimes Against Person,2016,22
Prowers County,Crimes Against Property,2016,91
Prowers County,Crimes Against Society,2016,43
Prowers County,Missing,2016,
Pueblo County,Crimes Against Person,2016,"2,537"
Pueblo County,Crimes Against Property,2016,"12,370"
Pueblo County,Crimes Against Society,2016,939
Pueblo County,Missing,2016,
Rio Blanco County,Crimes Against Person,2016,30
Rio Blanco County,Crimes Against Property,2016,65
Rio Blanco County,Crimes Against Society,2016,27
Rio Blanco County,Missing,2016,
Rio Grande County,Crimes Against Person,2016,97
Rio Grande County,Crimes Against Property,2016,374
Rio Grande County,Crimes Against Society,2016,85
Rio Grande County,Missing,2016,
Routt County,Crimes Against Person,2016,194
Routt County,Crimes Against Property,2016,675
Routt County,Crimes Against Society,2016,132
Routt County,Missing,2016,
Saguache County,Crimes Against Person,2016,50
Saguache County,Crimes Against Property,2016,172
Saguache County,Crimes Against Society,2016,17
Saguache County,Missing,2016,
San Juan County,Crimes Against Person,2016,8
San Juan County,Crimes Against Property,2016,13
San Juan County,Crimes Against Society,2016,
San Juan County,Missing,2016,
San Miguel County,Crimes Against Person,2016,47
San Miguel County,Crimes Against Property,2016,120
San Miguel County,Crimes Against Society,2016,13
San Miguel County,Missing,2016,
Sedgwick County,Crimes Against Person,2016,9
Sedgwick County,Crimes Against Property,2016,
Sedgwick County,Crimes Against Society,2016,
Sedgwick County,Missing,2016,
Summit County,Crimes Against Person,2016,327
Summit County,Crimes Against Property,2016,"1,484"
Summit County,Crimes Against Society,2016,104
Summit County,Missing,2016,
Teller County,Crimes Against Person,2016,298
Teller County,Crimes Against Property,2016,892
Teller County,Crimes Against Society,2016,132
Teller County,Missing,2016,
Washington County,Crimes Against Person,2016,56
Washington County,Crimes Against Property,2016,181
Washington County,Crimes Against Society,2016,27
Washington County,Missing,2016,
Weld County,Crimes Against Person,2016,"2,890"
Weld County,Crimes Against Property,2016,"9,720"
Weld County,Crimes Against Society,2016,"1,868"
Weld County,Missing,2016,
Yuma County,Crimes Against Person,2016,22
Yuma County,Crimes Against Property,2016,43
Yuma County,Crimes Against Society,2016,4
Yuma County,Missing,2016,
Broomfield County,Crimes Against Person,2016,290
Broomfield County,Crimes Against Property,2016,"2,590"
Broomfield County,Crimes Against Society,2016,309
Broomfield County,Missing,2016,
Colorado Bureau of Investigation,Crimes Against Person,2016,
Colorado Bureau of Investigation,Crimes Against Property,2016,
Colorado Bureau of Investigation,Crimes Against Society,2016,
Colorado Bureau of Investigation,Missing,2016,
Colorado State Patrol,Crimes Against Person,2016,25
Colorado State Patrol,Crimes Against Property,2016,199
Colorado State Patrol,Crimes Against Society,2016,860
Colorado State Patrol,Missing,2016,
