county,year,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type
Moffat,2015,257,115,372,misdemeanorbondtype
Moffat,2016,246,157,403,misdemeanorbondtype
Montezuma,2014,402,466,868,misdemeanorbondtype
Montezuma,2015,413,403,816,misdemeanorbondtype
Montezuma,2016,421,434,855,misdemeanorbondtype
Montrose,2014,700,155,855,misdemeanorbondtype
Montrose,2015,648,130,778,misdemeanorbondtype
Montrose,2016,607,181,788,misdemeanorbondtype
Morgan,2014,755,201,956,misdemeanorbondtype
Morgan,2015,775,238,1013,misdemeanorbondtype
Morgan,2016,693,247,940,misdemeanorbondtype
Otero,2014,479,157,636,misdemeanorbondtype
Otero,2015,376,228,604,misdemeanorbondtype
Otero,2016,210,305,515,misdemeanorbondtype
Ouray,2014,88,19,107,misdemeanorbondtype
Ouray,2015,79,14,93,misdemeanorbondtype
Ouray,2016,99,13,112,misdemeanorbondtype
Park,2014,313,66,379,misdemeanorbondtype
Park,2015,292,84,376,misdemeanorbondtype
Park,2016,251,105,356,misdemeanorbondtype
Phillips,2014,39,5,44,misdemeanorbondtype
Phillips,2015,41,22,63,misdemeanorbondtype
Phillips,2016,54,21,75,misdemeanorbondtype
Pitkin,2014,164,61,225,misdemeanorbondtype
Pitkin,2015,121,53,174,misdemeanorbondtype
Pitkin,2016,169,41,210,misdemeanorbondtype
Prowers,2014,629,68,697,misdemeanorbondtype
Prowers,2015,662,59,721,misdemeanorbondtype
Prowers,2016,625,34,659,misdemeanorbondtype
Pueblo,2014,2513,835,3348,misdemeanorbondtype
Pueblo,2015,2077,1332,3409,misdemeanorbondtype
Pueblo,2016,1906,1576,3482,misdemeanorbondtype
Rio Blanco,2014,193,12,205,misdemeanorbondtype
Rio Blanco,2015,194,14,208,misdemeanorbondtype
Rio Blanco,2016,129,24,153,misdemeanorbondtype
Rio Grande,2014,231,97,328,misdemeanorbondtype
Rio Grande,2015,229,94,323,misdemeanorbondtype
Rio Grande,2016,202,87,289,misdemeanorbondtype
Routt,2014,385,166,551,misdemeanorbondtype
Routt,2015,365,172,537,misdemeanorbondtype
Routt,2016,309,176,485,misdemeanorbondtype
Saguache,2014,84,38,122,misdemeanorbondtype
Saguache,2015,69,31,100,misdemeanorbondtype
Saguache,2016,88,30,118,misdemeanorbondtype
San Juan,2014,11,2,13,misdemeanorbondtype
San Juan,2015,19,1,20,misdemeanorbondtype
San Juan,2016,19,4,23,misdemeanorbondtype
San Miguel,2014,134,33,167,misdemeanorbondtype
San Miguel,2015,143,30,173,misdemeanorbondtype
San Miguel,2016,209,25,234,misdemeanorbondtype
Sedgwick,2014,36,7,43,misdemeanorbondtype
Sedgwick,2015,56,15,71,misdemeanorbondtype
Sedgwick,2016,62,7,69,misdemeanorbondtype
Summit,2014,862,63,925,misdemeanorbondtype
Summit,2015,938,110,1048,misdemeanorbondtype
Summit,2016,820,112,932,misdemeanorbondtype
Teller,2014,529,139,668,misdemeanorbondtype
