fips,year,county,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type,jud_district,medianHI,medianHI_MOE,povertyR,yfips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
8003,2016,"Alamosa",328.0,184,512.0,"misdemeanorbondtype",12,37057,3598,24.8,201608003,"CO","Alamosa County",16305,10892,5429,5463,127,227,4951,154,NA,5433,"rural","West","Mountain",264,NA,722.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41,132,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8003,2016,"Alamosa",341.0,215,556.0,"felonybondtype",12,37057,3598,24.8,201608003,"CO","Alamosa County",16305,10892,5429,5463,127,227,4951,154,NA,5433,"rural","West","Mountain",264,NA,722.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41,132,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8005,2014,"Arapahoe",4405.0,3151,7556.0,"misdemeanorbondtype",18,65359,1878,11.2,201408005,"CO","Arapahoe County",606839,412708,209040,203668,25704,46110,72702,2296,NA,265896,"suburban","West","Mountain",5,19740,797.932,18875.71,NA,NA,NA,1052.0,194.0,947.0,8.0,378.0,75.0,6,666.0,706.0,67.0,544.0,16.0,4.0,7.0,4.0,62.0,57.0,NA,NA,NA,2042,200,1842,NA,801,NA,NA,0,798,950,125,825,NA,349,NA,NA,0,385,4,345,1366,916,618948,17437,1807,15630,10,355,446,996,2783,11231,1497,119
8005,2014,"Arapahoe",2631.0,364,2995.0,"felonybondtype",18,65359,1878,11.2,201408005,"CO","Arapahoe County",606839,412708,209040,203668,25704,46110,72702,2296,NA,265896,"suburban","West","Mountain",5,19740,797.932,18875.71,NA,NA,NA,1052.0,194.0,947.0,8.0,378.0,75.0,6,666.0,706.0,67.0,544.0,16.0,4.0,7.0,4.0,62.0,57.0,NA,NA,NA,2042,200,1842,NA,801,NA,NA,0,798,950,125,825,NA,349,NA,NA,0,385,4,345,1366,916,618948,17437,1807,15630,10,355,446,996,2783,11231,1497,119
8005,2015,"Arapahoe",3703.0,3890,7593.0,"misdemeanorbondtype",18,67062,1540,9.2,201508005,"CO","Arapahoe County",617385,418556,211151,207405,26696,47593,74855,2335,NA,267077,"suburban","West","Mountain",5,19740,797.932,17909.0,NA,NA,NA,1008.0,133.0,880.0,13.0,282.0,35.0,3,670.0,567.0,67.0,544.0,16.0,4.0,7.0,4.0,7.0,0.0,NA,NA,NA,1848,173,1675,NA,727,NA,NA,0,703,764,106,658,NA,283,NA,NA,0,315,4,345,1366,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8005,2015,"Arapahoe",2482.0,668,3150.0,"felonybondtype",18,67062,1540,9.2,201508005,"CO","Arapahoe County",617385,418556,211151,207405,26696,47593,74855,2335,NA,267077,"suburban","West","Mountain",5,19740,797.932,17909.0,NA,NA,NA,1008.0,133.0,880.0,13.0,282.0,35.0,3,670.0,567.0,67.0,544.0,16.0,4.0,7.0,4.0,7.0,0.0,NA,NA,NA,1848,173,1675,NA,727,NA,NA,0,703,764,106,658,NA,283,NA,NA,0,315,4,345,1366,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8005,2016,"Arapahoe",4693.0,2393,7086.0,"misdemeanorbondtype",18,70866,1891,9.0,201608005,"CO","Arapahoe County",628834,425396,213946,211450,28253,49153,77191,2406,NA,268393,"suburban","West","Mountain",5,19740,797.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,345,1366,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8005,2016,"Arapahoe",2709.0,503,3212.0,"felonybondtype",18,70866,1891,9.0,201608005,"CO","Arapahoe County",628834,425396,213946,211450,28253,49153,77191,2406,NA,268393,"suburban","West","Mountain",5,19740,797.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,345,1366,916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,2014,"Archuleta",212.0,118,330.0,"misdemeanorbondtype",6,44508,4378,14.7,201408007,"CO","Archuleta County",12205,7687,3884,3803,73,59,1396,121,NA,6038,"rural","West","Mountain",423,NA,1350.096,368.0,NA,NA,NA,23.0,4.0,23.0,0.0,0.0,3.0,1,23.0,22.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,28,NA,NA,False,0,NA,NA,1,19,18,NA,NA,False,0,NA,NA,1,13,0,0,0,0,12297,242,23,219,2,3,0,18,56,154,8,1
8007,2014,"Archuleta",46.0,41,87.0,"felonybondtype",6,44508,4378,14.7,201408007,"CO","Archuleta County",12205,7687,3884,3803,73,59,1396,121,NA,6038,"rural","West","Mountain",423,NA,1350.096,368.0,NA,NA,NA,23.0,4.0,23.0,0.0,0.0,3.0,1,23.0,22.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,28,NA,NA,False,0,NA,NA,1,19,18,NA,NA,False,0,NA,NA,1,13,0,0,0,0,12297,242,23,219,2,3,0,18,56,154,8,1
