county,"Adams County, Colorado, United States","Alamosa County, Colorado, United States","Arapahoe County, Colorado, United States","Archuleta County, Colorado, United States","Baca County, Colorado, United States","Bent County, Colorado, United States","Boulder County, Colorado, United States","Broomfield County, Colorado, United States","Chaffee County, Colorado, United States","Cheyenne County, Colorado, United States","Clear Creek County, Colorado, United States","Conejos County, Colorado, United States","Costilla County, Colorado, United States","Crowley County, Colorado, United States","Custer County, Colorado, United States","Delta County, Colorado, United States","Denver County, Colorado, United States","Dolores County, Colorado, United States","Douglas County, Colorado, United States","Eagle County, Colorado, United States","Elbert County, Colorado, United States","El Paso County, Colorado, United States","Fremont County, Colorado, United States","Garfield County, Colorado, United States","Gilpin County, Colorado, United States","Grand County, Colorado, United States","Gunnison County, Colorado, United States","Hinsdale County, Colorado, United States","Huerfano County, Colorado, United States","Jackson County, Colorado, United States","Jefferson County, Colorado, United States","Kiowa County, Colorado, United States","Kit Carson County, Colorado, United States","Lake County, Colorado, United States","La Plata County, Colorado, United States","Larimer County, Colorado, United States","Las Animas County, Colorado, United States","Lincoln County, Colorado, United States","Logan County, Colorado, United States","Mesa County, Colorado, United States","Mineral County, Colorado, United States","Moffat County, Colorado, United States","Montezuma County, Colorado, United States","Montrose County, Colorado, United States","Morgan County, Colorado, United States","Otero County, Colorado, United States","Ouray County, Colorado, United States","Park County, Colorado, United States","Phillips County, Colorado, United States","Pitkin County, Colorado, United States","Prowers County, Colorado, United States","Pueblo County, Colorado, United States","Rio Blanco County, Colorado, United States","Rio Grande County, Colorado, United States","Routt County, Colorado, United States","Saguache County, Colorado, United States","San Juan County, Colorado, United States","San Miguel County, Colorado, United States","Sedgwick County, Colorado, United States","Summit County, Colorado, United States","Teller County, Colorado, United States","Washington County, Colorado, United States","Weld County, Colorado, United States","Yuma County, Colorado, United States",TOTAL (All Selected Counties)
Total Population,"497,395","16,456","636,949","12,836","3,548","5,681","321,173","66,509","19,082","1,834","9,361","8,072","3,705","5,254","4,601","30,346","694,777","2,062","327,722","54,364","25,041","686,706","46,906","58,906","5,905","15,129","16,491",787,"6,582","1,360","570,839","1,348","7,628","7,606","55,216","338,531","14,087","5,562","21,925","149,794",755,"13,161","25,975","41,160","28,063","18,239","4,784","17,350","4,281","17,894","11,989","164,834","6,483","11,338","24,679","6,407",689,"7,964","2,405","30,332","24,040","4,846","294,243","10,118",
Population Density (per Sq. Mile),426.12,22.77,798.25,9.51,1.39,3.76,442.16,"2,015.20",18.83,1.03,23.69,6.27,3.02,6.67,6.23,26.57,"4,531.99",1.93,390.06,32.27,13.53,322.88,30.60,19.98,39.39,8.19,5.09,0.70,4.14,0.84,746.93,0.76,3.53,20.18,32.68,130.42,2.95,2.16,11.92,45.00,0.86,2.77,12.80,18.37,21.92,14.45,8.83,7.91,6.22,18.43,7.32,69.08,2.01,12.43,10.45,2.02,1.78,6.19,4.39,49.86,43.16,1.92,73.82,4.28,
