"","county","year","money_bond_freq","pr_bond_freq","total_bond_freq","off_type","money_posted","money_bond_new_no","money_new_yes","pr_posted","pr_new_no","pr_new_yes","total_new"
"343","Pueblo",2014,1364,481,1845,"Felony",588,453,135,481,420,61,1069
"344","Pueblo",2015,1388,787,2175,"Felony",637,502,135,790,688,102,1427
"345","Pueblo",2016,1607,657,2264,"Felony",644,541,103,651,586,65,1295
"346","Rio Blanco",2014,47,5,52,"Felony",35,26,9,9,6,3,44
"347","Rio Blanco",2015,33,10,43,"Felony",26,22,4,9,7,2,35
"348","Rio Blanco",2016,55,13,68,"Felony",44,34,10,11,10,1,55
"349","Rio Grande",2014,100,61,161,"Felony",62,43,19,67,50,17,129
"350","Rio Grande",2015,73,63,136,"Felony",52,33,19,60,49,11,112
"351","Rio Grande",2016,115,50,165,"Felony",76,45,31,53,38,15,129
"352","Routt",2014,72,29,101,"Felony",53,43,10,30,26,4,83
"353","Routt",2015,95,65,160,"Felony",72,59,13,62,53,9,134
"354","Routt",2016,58,42,100,"Felony",39,31,8,40,34,6,79
"355","Saguache",2014,18,23,41,"Felony",15,13,2,21,17,4,36
"356","Saguache",2015,19,19,38,"Felony",13,8,5,19,15,4,32
"357","Saguache",2016,48,14,62,"Felony",31,27,4,14,10,4,45
"358","San Juan",2014,3,1,4,"Felony",2,2,NA,1,NA,1,3
"359","San Juan",2015,NA,NA,NA,"Felony",NA,NA,NA,NA,NA,NA,NA
"360","San Juan",2016,8,5,13,"Felony",7,5,2,3,3,NA,10
"361","San Miguel",2014,28,7,35,"Felony",20,14,6,7,5,2,27
"362","San Miguel",2015,48,6,54,"Felony",37,31,6,9,6,3,46
"363","San Miguel",2016,46,12,58,"Felony",40,32,8,8,7,1,48
"364","Sedgwick",2014,8,2,10,"Felony",7,4,3,2,1,1,9
"365","Sedgwick",2015,13,7,20,"Felony",10,6,4,7,7,NA,17
"366","Sedgwick",2016,21,9,30,"Felony",13,12,1,8,8,NA,21
"367","Summit",2014,209,13,222,"Felony",144,126,18,16,12,4,160
"368","Summit",2015,230,19,249,"Felony",164,128,36,20,14,6,184
"369","Summit",2016,264,19,283,"Felony",189,160,29,20,13,7,209
"370","Teller",2014,169,14,183,"Felony",110,93,17,9,8,1,119
"371","Teller",2015,167,21,188,"Felony",101,96,5,18,16,2,119
"372","Teller",2016,205,27,232,"Felony",134,113,21,27,24,3,161
"373","Washington",2014,11,4,15,"Felony",5,3,2,4,3,1,9
"374","Washington",2015,8,6,14,"Felony",6,5,1,6,6,NA,12
"375","Washington",2016,21,12,33,"Felony",13,12,1,13,12,1,26
"376","Weld",2014,1648,468,2116,"Felony",824,659,165,483,391,92,1307
"377","Weld",2015,1591,596,2187,"Felony",789,601,188,609,536,73,1398
"378","Weld",2016,1887,647,2534,"Felony",877,679,198,655,533,122,1532
"379","Yuma",2014,32,3,35,"Felony",22,19,3,3,3,NA,25
"380","Yuma",2015,43,10,53,"Felony",34,19,15,9,6,3,43
"381","Yuma",2016,47,14,61,"Felony",32,26,6,14,12,2,46
