"","county","year","money_bond_freq","pr_bond_freq","total_bond_freq","off_type","money_posted","money_bond_new_no","money_new_yes","pr_posted","pr_new_no","pr_new_yes","total_new"
"75","Grand",2016,258,95,353,"Misdemeanor",181,159,22,93,77,16,274
"76","Gunnison",2014,326,40,366,"Misdemeanor",256,226,30,41,38,3,297
"77","Gunnison",2015,363,48,411,"Misdemeanor",294,256,38,53,44,9,347
"78","Gunnison",2016,363,43,406,"Misdemeanor",283,243,40,42,36,6,325
"79","Hinsdale",2014,10,NA,10,"Misdemeanor",4,4,NA,NA,NA,NA,4
"80","Hinsdale",2015,6,5,11,"Misdemeanor",5,5,NA,NA,NA,NA,5
"81","Hinsdale",2016,6,3,9,"Misdemeanor",1,1,NA,NA,NA,NA,1
"82","Huerfano",2014,228,25,253,"Misdemeanor",107,94,13,25,24,1,132
"83","Huerfano",2015,234,26,260,"Misdemeanor",100,81,19,26,22,4,126
"84","Huerfano",2016,224,36,260,"Misdemeanor",88,79,9,36,29,7,124
"85","Jackson",2014,17,12,29,"Misdemeanor",11,9,2,12,9,3,23
"86","Jackson",2015,14,7,21,"Misdemeanor",8,7,1,7,6,1,15
"87","Jackson",2016,15,3,18,"Misdemeanor",3,3,NA,3,2,1,6
"88","Jefferson",2014,4831,813,5644,"Misdemeanor",2360,2079,281,806,739,67,3166
"89","Jefferson",2015,4920,964,5884,"Misdemeanor",2321,2022,299,952,862,90,3273
"90","Jefferson",2016,5304,1097,6401,"Misdemeanor",2285,2022,263,1046,957,89,3331
"91","Kiowa",2014,87,3,90,"Misdemeanor",44,41,3,2,2,NA,46
"92","Kiowa",2015,65,4,69,"Misdemeanor",26,25,1,4,4,NA,30
"93","Kiowa",2016,53,3,56,"Misdemeanor",26,24,2,3,3,NA,29
"94","Kit Carson",2014,181,39,220,"Misdemeanor",112,101,11,37,29,8,149
"95","Kit Carson",2015,164,62,226,"Misdemeanor",105,94,11,58,51,7,163
"96","Kit Carson",2016,196,73,269,"Misdemeanor",108,88,20,70,61,9,178
"97","La Plata",2014,753,463,1216,"Misdemeanor",450,389,61,380,303,77,830
"98","La Plata",2015,906,541,1447,"Misdemeanor",547,476,71,507,408,99,1054
"99","La Plata",2016,1000,463,1463,"Misdemeanor",617,549,68,430,366,64,1047
