fips,year,county,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,jud_district,medianHI,medianHI_MOE,povertyR
8017,2014,"Cheyenne",217,10,3,13,"Felony",5,4,1,2,2,NA,7,15,52273,4908,13.4
8017,2015,"Cheyenne",29,44,1,45,"Misdemeanor",24,23,1,1,1,NA,25,15,50620,5325,11.7
8017,2015,"Cheyenne",218,7,1,8,"Felony",7,7,NA,1,1,NA,8,15,50620,5325,11.7
8017,2016,"Cheyenne",30,71,8,79,"Misdemeanor",31,27,4,8,6,2,39,15,50558,5340,14.0
8017,2016,"Cheyenne",219,11,2,13,"Felony",10,7,3,1,1,NA,11,15,50558,5340,14.0
8019,2014,"Clear Creek",31,360,133,493,"Misdemeanor",215,190,25,24,19,5,239,5,69115,6705,8.5
8019,2014,"Clear Creek",220,79,4,83,"Felony",55,48,7,3,3,NA,58,5,69115,6705,8.5
8019,2015,"Clear Creek",32,382,141,523,"Misdemeanor",246,224,22,30,29,1,276,5,67262,6917,9.6
8019,2015,"Clear Creek",221,63,4,67,"Felony",41,33,8,4,2,2,45,5,67262,6917,9.6
8019,2016,"Clear Creek",33,393,122,515,"Misdemeanor",224,194,30,38,29,9,262,5,68699,6989,8.1
8019,2016,"Clear Creek",222,80,6,86,"Felony",51,45,6,5,4,1,56,5,68699,6989,8.1
8021,2014,"Conejos",34,132,35,167,"Misdemeanor",85,72,13,33,24,9,118,12,33998,3257,22.9
8021,2014,"Conejos",223,36,14,50,"Felony",16,12,4,13,11,2,29,12,33998,3257,22.9
8021,2015,"Conejos",35,112,47,159,"Misdemeanor",71,59,12,47,42,5,118,12,37102,3435,20.2
8021,2015,"Conejos",224,51,17,68,"Felony",38,28,10,19,13,6,57,12,37102,3435,20.2
8021,2016,"Conejos",36,115,42,157,"Misdemeanor",77,61,16,40,30,10,117,12,34390,3428,22.7
8021,2016,"Conejos",225,75,27,102,"Felony",50,32,18,26,22,4,76,12,34390,3428,22.7
8023,2014,"Costilla",37,121,28,149,"Misdemeanor",70,61,9,22,19,3,92,12,27882,2834,28.5
8023,2014,"Costilla",226,34,10,44,"Felony",26,20,6,6,5,1,32,12,27882,2834,28.5
8023,2015,"Costilla",38,120,21,141,"Misdemeanor",86,73,13,20,18,2,106,12,27944,2875,28.2
8023,2015,"Costilla",227,41,5,46,"Felony",34,29,5,7,7,NA,41,12,27944,2875,28.2
8023,2016,"Costilla",39,115,24,139,"Misdemeanor",55,49,6,18,17,1,73,12,27211,2845,30.4
8023,2016,"Costilla",228,33,17,50,"Felony",23,22,1,14,14,NA,37,12,27211,2845,30.4
8025,2014,"Crowley",40,54,20,74,"Misdemeanor",40,32,8,21,18,3,61,16,32570,3218,40.5
8025,2014,"Crowley",229,26,2,28,"Felony",17,13,4,4,2,2,21,16,32570,3218,40.5
8025,2015,"Crowley",41,51,28,79,"Misdemeanor",37,29,8,29,22,7,66,16,35405,3598,44.3
8025,2015,"Crowley",230,25,20,45,"Felony",20,16,4,21,18,3,41,16,35405,3598,44.3
8025,2016,"Crowley",42,34,15,49,"Misdemeanor",22,19,3,14,8,6,36,16,35873,3715,48.0
8025,2016,"Crowley",231,55,9,64,"Felony",40,33,7,10,5,5,50,16,35873,3715,48.0
8027,2014,"Custer",43,48,14,62,"Misdemeanor",38,32,6,14,14,NA,52,11,48368,5103,14.9
8027,2014,"Custer",232,17,4,21,"Felony",14,12,2,3,2,1,17,11,48368,5103,14.9
8027,2015,"Custer",44,71,24,95,"Misdemeanor",46,40,6,24,21,3,70,11,43995,3800,15.1
8027,2015,"Custer",233,19,5,24,"Felony",8,8,NA,8,8,NA,16,11,43995,3800,15.1
8027,2016,"Custer",45,47,29,76,"Misdemeanor",36,29,7,30,26,4,66,11,52021,5525,13.6
8027,2016,"Custer",234,39,11,50,"Felony",24,23,1,12,11,1,36,11,52021,5525,13.6
8029,2014,"Delta",46,428,66,494,"Misdemeanor",283,234,49,130,115,15,413,7,45283,3900,15.6
8029,2014,"Delta",235,117,11,128,"Felony",65,46,19,32,23,9,97,7,45283,3900,15.6
8029,2015,"Delta",47,460,70,530,"Misdemeanor",297,256,41,146,124,22,443,7,42586,3447,15.8
8029,2015,"Delta",236,112,13,125,"Felony",61,40,21,35,29,6,96,7,42586,3447,15.8
8029,2016,"Delta",48,557,65,622,"Misdemeanor",282,252,30,217,179,38,499,7,41798,3884,17.8
