"","bondsettype","district","year","moneybond","moneybond_no","moneybond_yes","prbond","prbond_no","prbond_yes","totalnewfiling"
"87","Misdemeanor",8,"2016","1,398","1,136","262","2,830","2,544","286","4,228"
"88","Misdemeanor",9,"2014","887","729","158","382","304","78","1,269"
"89","Misdemeanor",9,"2015","883","726","157","376","330","46","1,259"
"90","Misdemeanor",9,"2016","768","655","113","414","346","68","1,182"
"91","Misdemeanor",10,"2014","1,496","1,340","156","826","729","97","2,322"
"92","Misdemeanor",10,"2015","1,183","1,021","162","1,307","1,145","162","2,490"
"93","Misdemeanor",10,"2016","827","719","108","1,506","1,319","187","2,333"
"94","Misdemeanor",11,"2014","865","751","114","284","255","29","1,149"
"95","Misdemeanor",11,"2015","838","740","98","497","417","80","1,335"
"96","Misdemeanor",11,"2016","537","449","88","894","777","117","1,431"
"97","Misdemeanor",12,"2014","489","392","97","307","244","63","796"
"98","Misdemeanor",12,"2015","523","408","115","300","241","59","823"
"99","Misdemeanor",12,"2016","443","356","87","348","282","66","791"
"100","Misdemeanor",13,"2014","807","700","107","431","363","68","1,238"
"101","Misdemeanor",13,"2015","816","694","122","594","485","109","1,410"
"102","Misdemeanor",13,"2016","780","667","113","552","467","85","1,332"
"103","Misdemeanor",14,"2014","696","609","87","272","230","42","968"
"104","Misdemeanor",14,"2015","607","539","68","349","296","53","956"
"105","Misdemeanor",14,"2016","531","465","66","409","344","65","940"
"106","Misdemeanor",15,"2014","454","381","73","91","64","27","545"
"107","Misdemeanor",15,"2015","426","355","71","74","61","13","500"
"108","Misdemeanor",15,"2016","384","320","64","53","46","7","437"
"109","Misdemeanor",16,"2014","560","436","124","231","186","45","791"
"110","Misdemeanor",16,"2015","423","342","81","266","221","45","689"
"111","Misdemeanor",16,"2016","272","207","65","314","258","56","586"
"112","Misdemeanor",17,"2014","6,274","5,483","791","372","327","45","6,646"
"113","Misdemeanor",17,"2015","6,014","5,191","823","443","404","39","6,457"
"114","Misdemeanor",17,"2016","4,190","3,602","588","1,571","1,346","225","5,761"
"115","Misdemeanor",18,"2014","4,180","3,609","571","2,754","2,421","333","6,934"
"116","Misdemeanor",18,"2015","3,971","3,459","512","3,334","2,964","370","7,305"
"117","Misdemeanor",18,"2016","3,940","3,555","385","2,653","2,368","285","6,593"
"118","Misdemeanor",19,"2014","2,227","1,839","388","1,092","967","125","3,319"
"119","Misdemeanor",19,"2015","2,037","1,631","406","1,911","1,658","253","3,948"
"120","Misdemeanor",19,"2016","1,627","1,301","326","2,256","1,972","284","3,883"
"121","Misdemeanor",20,"2014","1,444","1,256","188","590","543","47","2,034"
"122","Misdemeanor",20,"2015","1,331","1,149","182","645","593","52","1,976"
"123","Misdemeanor",20,"2016","1,265","1,086","179","848","758","90","2,113"
"124","Misdemeanor",21,"2014","604","466","138","1,309","1,088","221","1,913"
"125","Misdemeanor",21,"2015","591","483","108","1,314","1,053","261","1,905"
"126","Misdemeanor",21,"2016","451","376","75","1,399","1,119","280","1,850"
"127","Misdemeanor",22,"2014","294","265","29","376","316","60","670"
"128","Misdemeanor",22,"2015","281","237","44","306","263","43","587"
"129","Misdemeanor",22,"2016","260","236","24","287","261","26","547"
