district,bond_type,year,amount
19,Total,2016,2534
19,Cash/Surety/Property,2016,1887
19,Personal Recognizance,2016,647
20,Total,2016,2198
20,Cash/Surety/Property,2016,1662
20,Personal Recognizance,2016,536
21,Total,2016,1991
21,Cash/Surety/Property,2016,957
21,Personal Recognizance,2016,1034
22,Total,2016,295
22,Cash/Surety/Property,2016,233
22,Personal Recognizance,2016,62
