year,dui,drug_violations,drugequipment_violations
2008,"23,649","17,099","10,658"
2009,"23,291","16,705","10,597"
2010,"22,615","16,275","10,044"
2011,"21,974","16,846","11,254"
2012,"23,298","19,497","13,836"
2013,"24,350","13,875","8,730"
2014,"24,746","15,462","9,579"
2015,"23,381","17,288","10,148"
2016,"21,971","19,136","11,340"
2017,"21,698","21,186","12,691"
,,,
,,,
,,,
,,,
