"Population Estimates by Region and County, 2000 - 2017, Vintage 2017, State Demography Office",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,
  REGIONS/Counties,2000  ,2001  ,2002  ,2003  ,2004  ,2005  ,2006  ,2007  ,2008  ,2009  ,2010,2011,2012,2013,2014,2015,2016,2017,
,,,,,,,,,,,,,,,,,,,
 COLORADO,"4,338,785","4,444,513","4,504,709","4,555,084","4,608,811","4,662,534","4,745,660","4,821,784","4,901,938","4,976,853","5,050,332","5,119,182","5,189,861","5,266,317","5,345,680","5,444,871","5,534,240","5,609,445",
,,,,,,,,,,,,,,,,,,,
 FRONT RANGE,"3,540,107","3,631,873","3,683,739","3,725,826","3,774,837","3,823,278","3,895,864","3,961,766","4,031,743","4,097,672","4,162,827","4,233,010","4,304,318","4,379,610","4,456,314","4,549,265","4,628,235","4,694,304",
,,,,,,,,,,,,,,,,,,,
  DNVR-BLDR REGION,"2,421,222","2,476,410","2,504,883","2,528,665","2,558,106","2,582,177","2,626,197","2,670,038","2,716,819","2,762,164","2,797,896","2,847,883","2,899,133","2,953,462","3,008,976","3,070,803","3,117,696","3,154,134",
    DENVER PMSA,"2,144,968","2,192,900","2,220,450","2,245,902","2,274,818","2,299,267","2,340,064","2,381,281","2,424,992","2,468,523","2,502,291","2,547,773","2,594,099","2,643,834","2,696,388","2,752,732","2,796,333","2,831,280",
     Adams ,"351,734","359,437","371,181","377,665","385,945","395,384","407,587","415,915","425,138","436,323","443,711","451,459","459,821","469,340","479,477","489,774","497,419","503,375",
     Arapahoe ,"490,722","501,671","510,503","516,354","523,715","528,214","536,051","545,882","556,246","566,480","574,819","585,069","595,264","606,938","617,498","628,951","637,266","643,257",
     Broomfield,"38,545","41,387","42,432","44,960","46,406","48,251","51,152","53,328","54,400","55,378","56,107","57,344","58,803","59,979","61,617","64,713","66,399","68,169",
     Denver ,"556,740","563,300","559,090","560,348","560,230","559,459","562,862","570,437","581,903","595,573","604,879","621,034","635,339","649,478","664,715","683,081","696,347","705,651",
     Douglas ,"180,511","199,038","209,705","221,146","233,646","244,442","257,833","268,599","276,740","282,163","287,124","292,535","298,612","306,223","314,527","321,772","327,970","335,635",
