offense_type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Robbery,"3,040","3,054","2,949","3,196","3,355","3,152","3,034","3,328","3,555","3,832"
Larceny,"77,951","78,014","83,126","85,521","100,333","102,835","100,161","105,192","109,931","109,323"
Burglary,"22,702","21,815","22,537","22,914","25,126","24,516","22,986","23,089","23,168","22,343"
Fraud,"17,248","15,755","15,734","16,963","18,101","17,187","18,792","23,370","23,798","23,679"
Motor Vehicle Theft,"11,797","11,218","10,346","10,521","12,221","12,806","12,894","16,406","20,006","22,204"
