fips,year,county,jud_district,medianHI,medianHI_MOE,povertyR,yfips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
8021,2015,Conejos,12,37102,3435,20.2,201508021,CO,Conejos County,8224,4958,2441,2517,22,25,2805,51,NA,2055,rural,West,Mountain,264,NA,1287.428,720,NA,NA,NA,40,11,23,0,0,21,1,2,25,5,34,3,0,9,0,2,0,NA,NA,NA,24,NA,NA,FALSE,0,NA,NA,6,NA,21,NA,NA,FALSE,0,NA,NA,1,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8021,2016,Conejos,12,34390,3428,22.7,201608021,CO,Conejos County,8061,4875,2372,2503,28,33,2715,50,NA,2049,rural,West,Mountain,264,NA,1287.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8023,2014,Costilla,12,27882,2834,28.5,201408023,CO,Costilla County,3535,2095,1010,1085,20,12,1414,30,NA,619,rural,West,Mountain,264,NA,1227.593,18,NA,NA,NA,15,1,7,0,1,6,0,2,4,0,8,0,0,5,0,1,0,NA,NA,NA,11,NA,NA,FALSE,NA,NA,FALSE,4,NA,5,0,5,FALSE,NA,NA,FALSE,5,NA,0,0,0,0,3536,28,8,20,0,0,0,8,10,7,3,0
8023,2015,Costilla,12,27944,2875,28.2,201508023,CO,Costilla County,3554,2086,993,1093,19,12,1412,30,NA,613,rural,West,Mountain,264,NA,1227.593,18,NA,NA,NA,15,1,7,0,1,6,0,2,4,0,8,0,0,5,0,1,0,NA,NA,NA,9,NA,NA,FALSE,NA,NA,FALSE,4,NA,5,0,5,FALSE,0,NA,FALSE,5,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8023,2016,Costilla,12,27211,2845,30.4,201608023,CO,Costilla County,3569,2043,976,1067,15,19,1363,26,NA,620,rural,West,Mountain,264,NA,1227.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8025,2014,Crowley,16,32570,3218,40.5,201408025,CO,Crowley County,5321,4028,922,3106,51,478,1282,72,NA,2145,rural,West,Mountain,159,NA,787.428,137,NA,NA,NA,5,2,3,0,1,1,0,4,4,0,5,0,0,0,0,0,0,NA,NA,NA,11,0,11,FALSE,NA,NA,NA,3,4,9,0,9,FALSE,0,NA,FALSE,3,NA,2,553,2160,2727,5231,7,2,5,0,0,0,2,4,1,0,0
8025,2015,Crowley,16,35405,3598,44.3,201508025,CO,Crowley County,5586,4269,907,3362,58,545,1373,84,NA,2209,rural,West,Mountain,159,NA,787.428,137,NA,NA,NA,5,2,3,0,1,1,0,4,4,0,5,0,0,0,0,0,0,NA,NA,NA,13,0,13,FALSE,NA,NA,FALSE,1,5,12,0,12,FALSE,NA,NA,FALSE,3,NA,2,553,2160,2727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8025,2016,Crowley,16,35873,3715,48,201608025,CO,Crowley County,5597,4287,895,3392,59,565,1369,82,NA,2212,rural,West,Mountain,159,NA,787.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,553,2160,2727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8027,2014,Custer,11,48368,5103,14.9,201408027,CO,Custer County,4265,2611,1292,1319,13,45,163,19,NA,2371,rural,West,Mountain,159,NA,738.626,1990,NA,NA,NA,5,0,7,0,0,0,0,7,2,0,0,0,0,0,0,0,0,NA,NA,NA,8,0,8,FALSE,0,FALSE,FALSE,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4311,40,4,36,0,0,0,4,6,26,4,0
8027,2015,Custer,11,43995,3800,15.1,201508027,CO,Custer County,4345,2582,1289,1293,16,46,162,17,NA,2341,rural,West,Mountain,159,NA,738.626,1990,NA,NA,NA,5,0,7,0,0,0,0,7,2,0,0,0,0,0,0,0,0,NA,NA,NA,5,0,5,FALSE,0,FALSE,FALSE,0,5,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8027,2016,Custer,11,52021,5525,13.6,201608027,CO,Custer County,4439,2555,1285,1270,17,47,170,21,NA,2300,rural,West,Mountain,159,NA,738.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8029,2014,Delta,7,45283,3900,15.6,201408029,CO,Delta County,30321,18169,8932,9237,189,162,2762,147,NA,14909,rural,West,Mountain,381,NA,1142.129,1814,NA,NA,NA,44,6,47,0,1,13,0,40,31,6,30,5,0,0,0,3,0,NA,NA,NA,37,NA,NA,FALSE,NA,NA,FALSE,1,27,24,NA,NA,FALSE,NA,NA,FALSE,1,18,1,122,484,484,28346,579,19,560,0,15,3,1,126,403,29,2
8029,2015,Delta,7,42586,3447,15.8,201508029,CO,Delta County,29947,17810,8717,9093,155,191,2775,150,NA,14539,rural,West,Mountain,381,NA,1142.129,1814,NA,NA,NA,44,6,47,0,1,13,0,40,31,6,30,5,0,0,0,3,0,NA,NA,NA,40,NA,NA,FALSE,NA,NA,NA,3,29,23,NA,NA,FALSE,NA,NA,NA,5,18,1,122,484,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8029,2016,Delta,7,41798,3884,17.8,201608029,CO,Delta County,29902,17650,8613,9037,176,188,2857,149,NA,14280,rural,West,Mountain,381,NA,1142.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,122,484,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8033,2014,Dolores,22,44235,4721,15.4,201408033,CO,Dolores County,2033,1236,590,646,5,6,56,43,NA,1126,rural,West,Mountain,363,NA,1067.17,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2032,20,2,18,0,1,0,1,14,2,2,0
8033,2015,Dolores,22,44829,4652,14.9,201508033,CO,Dolores County,1977,1202,565,637,2,8,69,44,NA,1079,rural,West,Mountain,363,NA,1067.17,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
